,Id,Primary Title,Original Title,Year,Genres,Average Rating,# of Votes
0,tt0014429,Safety Last!, Safety Last!,1923, Action&Comedy&Thriller,8.1,18750
1,tt0017925,The General, The General,1926, Action&Adventure&Comedy,8.1,82447
2,tt0018600,Xi xiang ji, Xi xiang ji,1927, Drama&Romance,6.2,114
3,tt0019996,Hongxia, Hongxia,2011, Action,6.3,52
4,tt0021746,Cimarron, Cimarron,1931, Drama&Western,5.9,5568
5,tt0023036,Loving Blood of the Volcano, Huo shan qing xue,1932, Drama,6.8,50
6,tt0023871,A Song of Lisbon, A Canção de Lisboa,1933, Comedy&Musical,7.7,1360
7,tt0023876,Cavalcade, Cavalcade,1933, Drama&Romance&War,5.8,4702
8,tt0025586,Of Human Bondage, Of Human Bondage,1934, Drama&Romance,7.1,6593
9,tt0026261,Dangerous, Dangerous,1935, Drama&Romance,6.9,2848
10,tt0026752,Mutiny on the Bounty, Mutiny on the Bounty,1935, Adventure&Biography&Drama,7.7,21113
11,tt0028281,Tian lun, Tian lun,1935, Drama,6.4,52
12,tt0029080,Kid Galahad, Kid Galahad,1937, Crime&Drama&Romance,7.2,3134
13,tt0029217,Marked Woman, Marked Woman,1937, Crime&Film-Noir&Thriller,7.2,3614
14,tt0030287,Jezebel, Jezebel,1938, Drama&Romance,7.5,12260
15,tt0030993,You Cant Take It with You, You Cant Take It with You,1938, Comedy&Drama&Romance,7.9,23674
16,tt0031210,Dark Victory, Dark Victory,1939, Drama&Romance,7.5,10143
17,tt0031381,Gone with the Wind, Gone with the Wind,1939, Drama&History&Romance,8.1,293668
18,tt0031679,Mr. Smith Goes to Washington, Mr. Smith Goes to Washington,1939, Comedy&Drama,8.1,108285
19,tt0031725,Ninotchka, Ninotchka,1939, Comedy&Romance,7.9,19308
20,tt0031750,The Old Maid, The Old Maid,1939, Drama,7.6,3332
21,tt0032138,The Wizard of Oz, The Wizard of Oz,1939, Adventure&Family&Fantasy,8.0,373691
22,tt0032145,Wuthering Heights, Wuthering Heights,1939, Drama&Romance,7.6,16685
23,tt0032701,The Letter, The Letter,1940, Crime&Drama&Film-Noir,7.6,11960
24,tt0032904,The Philadelphia Story, The Philadelphia Story,1940, Comedy&Romance,7.9,64349
25,tt0033238,Waterloo Bridge, Waterloo Bridge,1940, Drama&Romance&War,7.8,9066
26,tt0033669,Golden Gate Girl, Golden Gate Girl,1941, Drama,7.4,59
27,tt0033722,Hold Back the Dawn, Hold Back the Dawn,1941, Drama&Romance,7.4,2071
28,tt0033836,The Little Foxes, The Little Foxes,1941, Drama&Romance,8.0,10661
29,tt0034248,Suspicion, Suspicion,1941, Film-Noir&Mystery&Thriller,7.4,33443
30,tt0034583,Casablanca, Casablanca,1942, Drama&Romance&War,8.5,528831
31,tt0035093,Mrs. Miniver, Mrs. Miniver,1942, Drama&Romance&War,7.6,16187
32,tt0036515,Watch on the Rhine, Watch on the Rhine,1943, Drama&Thriller,7.3,3925
33,tt0036775,Double Indemnity, Double Indemnity,1944, Crime&Drama&Film-Noir,8.3,145721
34,tt0036855,Gaslight, Gaslight,1944, Crime&Drama&Mystery,7.8,25209
35,tt0036868,The Best Years of Our Lives, The Best Years of Our Lives,1946, Drama&Romance&War,8.0,57938
36,tt0037059,Meet Me in St. Louis, Meet Me in St. Louis,1944, Comedy&Drama&Family,7.5,21424
37,tt0037094,Mr. Skeffington, Mr. Skeffington,1944, Drama&Romance,7.7,5454
38,tt0037276,Noroshi wa Shanghai ni agaru, Noroshi wa Shanghai ni agaru,1944, Drama&History&War,6.3,13
39,tt0037382,To Have and Have Not, To Have and Have Not,1944, Adventure&Comedy&Film-Noir,7.8,31486
40,tt0037884,The Lost Weekend, The Lost Weekend,1945, Drama&Film-Noir,7.9,34020
41,tt0037913,Mildred Pierce, Mildred Pierce,1945, Crime&Drama&Film-Noir,8.0,23287
42,tt0038109,Spellbound, Spellbound,1945, Film-Noir&Mystery&Romance,7.6,44063
43,tt0038787,Notorious, Notorious,1946, Drama&Film-Noir&Romance,7.9,93280
44,tt0039040,To Each His Own, To Each His Own,1946, Drama&Romance,7.7,2420
45,tt0039725,Possessed, Possessed,1947, Crime&Drama&Film-Noir,7.2,4723
46,tt0039840,Smash-Up: The Story of a Woman, Smash-Up: The Story of a Woman,1947, Drama&Film-Noir&Music,6.4,1315
47,tt0040009,Tears of the Yang-Tse, Yi jiang chun shui xiang dong liu,1947, Drama&War,7.4,288
48,tt0040506,Key Largo, Key Largo,1948, Action&Crime&Drama,7.8,37411
49,tt0040725,The Red Shoes, The Red Shoes,1948, Drama&Music&Romance,8.1,31537
50,tt0040806,The Snake Pit, The Snake Pit,1948, Drama&Mystery,7.6,6972
51,tt0041113,All the Kings Men, All the Kings Men,1949, Drama&Film-Noir,7.5,13619
52,tt0041452,The Heiress, The Heiress,1949, Drama&Romance,8.2,14225
53,tt0041587,A Letter to Three Wives, A Letter to Three Wives,1949, Drama&Romance,7.7,8627
54,tt0041672,My Foolish Heart, My Foolish Heart,1949, Drama&Romance,6.9,899
55,tt0042054,Crows and Sparrows, Wuya yu maque,1949, Drama,7.2,237
56,tt0042192,All About Eve, All About Eve,1950, Drama,8.2,122224
57,tt0042544,Harriet Craig, Harriet Craig,1950, Drama,7.3,1628
58,tt0042593,In a Lonely Place, In a Lonely Place,1950, Drama&Film-Noir&Mystery,8.0,27463
59,tt0042785,The New China, Osvobozhdyonnyy Kitay,1951, Documentary,5.9,9
60,tt0043014,Sunset Blvd., Sunset Blvd.,1950, Drama&Film-Noir,8.4,204634
61,tt0043139,Life of a Beijing Policeman, Wo zhe yi bei zi,1950, Drama&History,7.3,158
62,tt0043465,Detective Story, Detective Story,1951, Crime&Drama&Film-Noir,7.6,7451
63,tt0043924,A Place in the Sun, A Place in the Sun,1951, Drama&Romance,7.8,20539
64,tt0044320,Abbott and Costello Meet Captain Kidd, Abbott and Costello Meet Captain Kidd,1952, Adventure&Comedy&Music,5.9,1998
65,tt0044706,High Noon, High Noon,1952, Drama&Thriller&Western,7.9,98364
66,tt0045152,Singin in the Rain, Singin in the Rain,1952, Comedy&Musical&Romance,8.3,222257
67,tt0045186,The Star, The Star,1952, Drama&Romance,7.0,3330
68,tt0045205,Sudden Fear, Sudden Fear,1952, Film-Noir&Thriller,7.5,5415
69,tt0045333,With a Song in My Heart, With a Song in My Heart,1952, Biography&Drama&Musical,6.8,1249
70,tt0045793,From Here to Eternity, From Here to Eternity,1953, Drama&Romance&War,7.6,43923
71,tt0046250,Roman Holiday, Roman Holiday,1953, Comedy&Romance,8.0,128880
72,tt0046359,Stalag 17, Stalag 17,1953, Comedy&Drama&War,8.0,51423
73,tt0046816,The Caine Mutiny, The Caine Mutiny,1954, Drama&War,7.7,24659
74,tt0047136,Johnny Guitar, Johnny Guitar,1954, Drama&Western,7.7,15930
