,Id,Primary Title,Original Title,Year,Genres,Average Rating,# of Votes
2,tt0018600,Xi xiang ji, Xi xiang ji,1927, Drama&Romance,6.2,114
3,tt0019996,Hongxia, Hongxia,2011, Action,6.3,52
5,tt0023036,Loving Blood of the Volcano, Huo shan qing xue,1932, Drama,6.8,50
11,tt0028281,Tian lun, Tian lun,1935, Drama,6.4,52
26,tt0033669,Golden Gate Girl, Golden Gate Girl,1941, Drama,7.4,59
47,tt0040009,Tears of the Yang-Tse, Yi jiang chun shui xiang dong liu,1947, Drama&War,7.4,288
55,tt0042054,Crows and Sparrows, Wuya yu maque,1949, Drama,7.2,237
59,tt0042785,The New China, Osvobozhdyonnyy Kitay,1951, Documentary,5.9,9
61,tt0043139,Life of a Beijing Policeman, Wo zhe yi bei zi,1950, Drama&History,7.3,158
90,tt0049979,New Year Sacrifice, Zhu Fu,1956, Drama,6.8,125
96,tt0051883,Luban De Chuanshuo, Luban De Chuanshuo,1958, Drama,5.6,5
98,tt0053010,Lin Zexu, Lin Zexu,1959, Drama&History&War,6.2,104
100,tt0053196,Qing chun zhi ge, Qing chun zhi ge,1959, Drama,6.4,36
108,tt0054034,Third Sister Liu, Liu san jie,1960, Musical,7.0,155
113,tt0055371,Geming jiating, Geming jiating,1961, Drama,6.7,13
114,tt0056078,Hong lou meng, Hong lou meng,1962, Drama,8.4,22
123,tt0057713,Threshold of Spring, Zao Chun Er Yue,1983, Drama,7.3,128
128,tt0059855,Havoc in Heaven, Da nao tian gong,1963, Action&Adventure&Animation,8.1,1795
165,tt0076581,Qingchun, Qingchun,1977, N/A,6.7,18
175,tt0079421,Troubled Laughter, Ku nao ren de xiao,1981, N/A,7.8,28
179,tt0079891,Shaolin Temple, Shao Lin si,1982, Action&Drama,6.9,4001
182,tt0080404,Evening Rain, Ba shan ye yu,1980, Drama,7.3,94
187,tt0081553,Two Stage Sisters, Wutai jiemei,1964, Drama,6.8,302
190,tt0081632,Legend of Tianyun Mountain, Tian yun shan chuan qi,1980, Drama,7.7,151
191,tt0081770,Nu lan wu hao, Nu lan wu hao,1957, Drama&Romance&Sport,6.6,84
192,tt0081781,Xiao hua, Xiao hua,1979, Drama&War,6.6,135
194,tt0081971,A Q zheng zhuan, A Q zheng zhuan,1981, Drama,6.9,139
196,tt0082662,Lin ju, Lin ju,1981, Drama,6.2,10
197,tt0083060,The Drive to Win, Sha Ou,1981, Drama&Sport,6.7,23
198,tt0083345,Xian Incident, Xian shi bian,1981, Drama&War,5.8,30
200,tt0084280,Rickshaw Boy, Luo tuo Xiang Zi,1982, Drama,6.9,144
201,tt0084363,The Herdsman, Mu Ma Ren,1982, Drama,7.3,212
