,Id,User,Rating,Date Posted
0,tt0018600_0,imdb-5664,10/10,23 October 2005
1,tt0018600_1,gmwhite,10/10,31 August 2005
2,tt0018600_2,zzmale,N/A,6 April 2004
3,tt0018600_3,Rufus-T,8/10,19 July 2009
4,tt0018600_4,MartinHafer,7/10,11 October 2010
5,tt0019996_0,luciensmith,9/10,10 October 2008
6,tt0019996_1,zzmale,10/10,5 December 2003
7,tt0019996_2,rdjeffers,N/A,22 September 2008
8,tt0023036_0,gmwhite,9/10,5 September 2005
9,tt0023036_1,zzmale,10/10,12 December 2003
10,tt0028281_0,boblipton,6/10,27 January 2021
11,tt0028281_1,netwallah,8/10,2 March 2007
12,tt0040009_0,Petteri,10/10,28 June 2000
13,tt0040009_1,Soma-6,10/10,10 December 2001
14,tt0040009_2,wangwenmingvip,8/10,14 January 2019
15,tt0042054_0,amalthea-2,6/10,21 February 2001
16,tt0042054_1,hobbes159-1,8/10,28 February 2001
17,tt0042054_2,Bobak!,6/10,27 May 1999
18,tt0043139_0,howard.schumann,N/A,4 March 2003
19,tt0043139_1,alsolikelife,10/10,18 July 2002
20,tt0049979_0,asu,7/10,12 February 2001
21,tt0051883_0,zzmale,N/A,18 February 2004
22,tt0053010_0,ad-79270,8/10,14 October 2016
23,tt0053010_1,zzmale,10/10,24 November 2003
24,tt0053010_2,seethroughthebs,10/10,7 September 2020
25,tt0053010_3,nateemery,3/10,26 July 2001
26,tt0054034_0,jjcyd,10/10,20 May 2006
27,tt0054034_1,mfcappie,10/10,9 October 2004
28,tt0054034_2,zzmale,N/A,18 February 2004
29,tt0054034_3,hisakura,9/10,12 March 2006
30,tt0054034_4,davidagilliam,8/10,22 June 2017
31,tt0054034_5,johnmperry,7/10,29 June 2010
32,tt0055371_0,zzmale,10/10,24 November 2003
33,tt0056078_0,illinoisximi,10/10,21 December 2006
34,tt0056078_1,zzmale,10/10,12 February 2004
35,tt0057713_0,molloy10000,10/10,23 February 2005
36,tt0057713_1,zzmale,10/10,24 November 2003
37,tt0059855_0,mcfloodhorse,8/10,11 December 2008
38,tt0059855_1,dont_b_so_BBC,10/10,23 June 2005
39,tt0059855_2,Mozjoukine,N/A,15 December 2002
40,tt0059855_3,AndreiPavlov,10/10,3 March 2006
41,tt0059855_4,Logan San,10/10,26 February 2004
42,tt0059855_5,ja_kitty_71,10/10,11 June 2009
43,tt0059855_6,jonasjobbar,9/10,9 November 2004
44,tt0059855_7,sunnymoon13,N/A,12 November 2002
45,tt0059855_8,alphahumphrey-54847,7/10,7 February 2020
46,tt0059855_9,beavers-651-802579,7/10,2 February 2010
47,tt0059855_10,noam-73050,8/10,20 August 2018
48,tt0076581_0,zzmale,1/10,17 March 2004
49,tt0079421_0,zzmale,N/A,16 February 2004
50,tt0079891_0,BernieK,N/A,26 November 2000
51,tt0079891_1,AlbinH,8/10,27 November 2000
52,tt0079891_2,pbtips,N/A,19 February 2002
53,tt0079891_3,EricYu,10/10,18 February 1999
54,tt0079891_4,chris-836,N/A,27 February 2000
55,tt0079891_5,AzSumTuk,10/10,19 February 2006
56,tt0079891_6,zzmale,N/A,12 January 2004
57,tt0079891_7,MattP-3,10/10,7 July 1999
58,tt0079891_8,bob the moo,N/A,29 December 2008
59,tt0079891_9,daan_de_geus,9/10,21 April 2007
60,tt0079891_10,view_and_review,6/10,9 September 2018
61,tt0079891_11,Lomedin,3/10,30 October 2010
62,tt0079891_12,kiirn,8/10,30 March 2003
63,tt0079891_13,veganflimgeek,6/10,22 May 2004
64,tt0079891_14,blazeholiday,7/10,15 January 2007
65,tt0079891_15,Rooster99,9/10,7 July 2009
66,tt0079891_16,Reshep,8/10,26 April 2007
67,tt0079891_17,deluca.lorenzo@libero.it,1/10,26 December 2020
68,tt0079891_18,gavin6942,6/10,17 February 2017
69,tt0079891_19,callanvass,7/10,26 August 2013
70,tt0079891_20,kiwarrior,8/10,25 September 2006
71,tt0080404_0,stratmann_sg,10/10,24 April 2015
72,tt0080404_1,zzmale,10/10,16 December 2003
73,tt0081553_0,howard.schumann,N/A,18 August 2003
74,tt0081553_1,zzmale,N/A,20 November 2003
75,tt0081632_0,zzmale,10/10,20 November 2003
76,tt0081632_1,rdinislobo,5/10,19 November 2015
77,tt0081770_0,zzmale,10/10,20 November 2003
78,tt0081781_0,zzmale,10/10,15 December 2003
79,tt0081781_1,nomaster-169-541249,8/10,18 August 2013
80,tt0081781_2,hooraychining,4/10,15 August 2020
81,tt0081971_0,zzmale,10/10,26 November 2003
82,tt0082662_0,zzmale,N/A,17 February 2004
83,tt0083060_0,zzmale,N/A,18 March 2004
84,tt0083345_0,zzmale,N/A,6 April 2004
85,tt0084280_0,howard.schumann,8/10,23 August 2004
86,tt0084280_1,zzmale,N/A,19 February 2004
87,tt0084280_2,jessicacoco2005,8/10,29 March 2020
88,tt0084363_0,zzmale,10/10,20 November 2003
89,tt0084363_1,zhangwenliang10,10/10,16 January 2020
90,tt0084363_2,bing_ming66,5/10,15 March 2001
91,tt0085326_0,p_radulescu,10/10,27 June 2011
92,tt0085326_1,zzmale,10/10,29 November 2003
93,tt0085326_2,lukechong,8/10,5 January 2018
94,tt0085837_0,zzmale,N/A,17 February 2004
95,tt0086621_0,oOgiandujaOo_and_Eddy_Merckx,8/10,27 July 2014
96,tt0086621_1,zzmale,N/A,7 April 2004
97,tt0086878_0,audreymickey,9/10,1 November 2001
98,tt0086878_1,zzmale,10/10,28 November 2003
99,tt0086878_2,lucas_liu,9/10,16 June 2003
100,tt0086878_3,audreymickey,9/10,1 November 2001
101,tt0087057_0,BrianDanaCamp,N/A,15 April 2013
102,tt0087301_0,Bobak!,8/10,11 June 1999
103,tt0087301_1,Niels-2,10/10,11 September 1998
104,tt0087301_2,hujue198635,N/A,9 May 2013
105,tt0087301_3,zzmale,N/A,19 November 2003
106,tt0087433_0,Nazi_Fighter_David,8/10,13 November 2005
107,tt0087433_1,mdworak,10/10,5 June 2000
108,tt0087433_2,howard.schumann,N/A,26 May 2003
109,tt0087433_3,cameroj,10/10,17 November 2003
110,tt0087433_4,zzmale,10/10,24 November 2003
111,tt0087433_5,rikkihon,N/A,27 January 2005
112,tt0087433_6,Atavisten,9/10,8 October 2005
113,tt0087433_7,Meganeguard,8/10,9 January 2007
114,tt0087433_8,sc8031,9/10,17 July 2008
115,tt0087433_9,mjneu59,7/10,17 January 2011
116,tt0087433_10,dmuel,10/10,19 November 2016
