,Id,User,Rating,Date Posted,Negativity_Score,Neutrality_Score,Positivity_Score,Compound_Score,Error,Evaluated_User_Rating
0,tt0018600_0,imdb-5664,10/10,23 October 2005,0.0,0.73,0.27,0.9882,-0.5900000000000016,1.0
1,tt0018600_1,gmwhite,10/10,31 August 2005,0.039,0.813,0.148,0.9948,-0.25999999999999357,1.0
2,tt0018600_2,zzmale,,6 April 2004,0.087,0.681,0.231,0.9712,,
3,tt0018600_3,Rufus-T,8/10,19 July 2009,0.04,0.893,0.067,0.7218,7.6124999999999945,0.8
4,tt0018600_4,MartinHafer,7/10,11 October 2010,0.068,0.802,0.13,0.9664,40.45714285714288,0.7
5,tt0019996_0,luciensmith,9/10,10 October 2008,0.111,0.75,0.139,0.6783,-6.761111111111107,0.9
6,tt0019996_1,zzmale,10/10,5 December 2003,0.0,0.903,0.097,0.875,-6.25,1.0
7,tt0019996_2,rdjeffers,,22 September 2008,0.154,0.763,0.082,-0.8953,,
8,tt0023036_0,gmwhite,9/10,5 September 2005,0.108,0.712,0.181,0.9869,10.383333333333326,0.9
9,tt0023036_1,zzmale,10/10,12 December 2003,0.062,0.84,0.098,0.4983,-25.085,1.0
10,tt0028281_0,boblipton,6/10,27 January 2021,0.018,0.75,0.232,0.995,66.25000000000001,0.6
11,tt0028281_1,netwallah,8/10,2 March 2007,0.06,0.856,0.084,0.7328,8.300000000000002,0.8
12,tt0040009_0,Petteri,10/10,28 June 2000,0.142,0.665,0.192,0.8849,-5.754999999999999,1.0
13,tt0040009_1,Soma-6,10/10,10 December 2001,0.118,0.758,0.124,0.7897,-10.515000000000008,1.0
14,tt0040009_2,wangwenmingvip,8/10,14 January 2019,0.167,0.833,0.0,-0.5267,-70.41875,0.8
15,tt0042054_0,amalthea-2,6/10,21 February 2001,0.0,0.754,0.246,0.9428,61.90000000000001,0.6
16,tt0042054_1,hobbes159-1,8/10,28 February 2001,0.095,0.729,0.176,0.7346,8.412499999999989,0.8
17,tt0042054_2,Bobak!,6/10,27 May 1999,0.081,0.824,0.095,0.6204,35.033333333333346,0.6
18,tt0043139_0,howard.schumann,,4 March 2003,0.125,0.741,0.134,-0.11,,
19,tt0043139_1,alsolikelife,10/10,18 July 2002,0.08,0.788,0.132,0.9299,-3.5050000000000026,1.0
20,tt0049979_0,asu,7/10,12 February 2001,0.095,0.741,0.165,0.7738,26.700000000000014,0.7
21,tt0051883_0,zzmale,,18 February 2004,0.0,0.869,0.131,0.7717,,
22,tt0053010_0,ad-79270,8/10,14 October 2016,0.107,0.77,0.124,0.9387,21.168749999999985,0.8
23,tt0053010_1,zzmale,10/10,24 November 2003,0.1,0.85,0.051,-0.631,-81.55,1.0
24,tt0053010_2,seethroughthebs,10/10,7 September 2020,0.103,0.823,0.074,-0.1779,-58.894999999999996,1.0
